BEZEICHNUNG_OFFIZIELL;Abkuerzung
Yverdon-les-Bains 94;YV94
Yverdon-les-Bains 95;YV95
Yverdon-les-Bains 96;YV96
Yverdon-les-Bains 97;YV97
Yverdon-les-Bains 98;YV98
Yverdon AIT;YVAP
Yverdon AIT K+S;YVAP06
Yverdon-les-Bains TRAVYS;YVE
Yverdon Est (bif);YVES
Yvoire (F) (lac);YVOI
Yverdon Poste 2;YVPO
Yverdon-les-Bains sous-station;YVSS
Yverdon-les-Bains Ste. Croix;YVTR
Yverdon William Barbey;YVWB
Zäziwil;ZAE
Zürich Affoltern;ZAF
Zürich Affoltern (Abzw);ZAFA
Zürich Altstetten Farbhof;ZAFH
Zizers Altlöser;ZALT
Zürich Altstetten;ZAS
Zürich Altstetten 94;ZAS94
Zürich Altstetten 95;ZAS95
Zürich Altstetten 96;ZAS96
Zürich Altstetten 97;ZAS97
Zürich Altstetten 98;ZAS98
Zürich Altstetten Connex;ZASC
Zürich Herdern West Letzibach;ZASL
Zürich Altstetten Nord (Abzw);ZASN
Zürich Altstetten Ost (Abzw);ZASO
Zürich, RAZ;ZASP
Zürich Altstetten Süd (Abzw);ZASS
Zürich Altstetten Unterwerk;ZASUW
Zürich-Alt WestLink Plaza;ZASW
Zürich Aussersihl (Abzw);ZAU
Zürich Aubrugg;ZAUB
Ziegelbrücke;ZB
Ziegelbrücke mobile Equipe;ZB56
Ziegelbrücke 94;ZB94
Ziegelbrücke 95;ZB95
Ziegelbrücke 96;ZB96
Ziegelbrücke 97;ZB97
Ziegelbrücke 98;ZB98
Ziegelbrücke, Bahnhof Nord;ZBBF
Ziegelbrücke Biberlikopftunnel;ZBBT
Zürich BDZ Kohlendreieck;ZBDZ
Zürichbergtunnel;ZBGT
Zürich (BLZ);ZBLZ
Ziegelbrücke Ost (Abzw);ZBO
Ziegelbrücke, Post;ZBPO
Zihlbrücke;ZBR
Zürich Brunnenhof (Spw);ZBRH
Zürich Brunau;ZBRU
Zürich Birchsteg (Abzw);ZBST
Ziegelbrücke Technikgebäude;ZBTG
Zürichbergtunnel II;ZBTZ
Ziegelbrücke Unterwerk;ZBUW
Ziegelbrücke West (Abzw);ZBW
Zürich Binz;ZBZ
Zürich HB Depot F Ceres;ZDFC
Zürich Langstr Dienstgebäude;ZDGL
Zürich Dienstgebäude Visiteur;ZDGV
Zell LU, Bahnhof;ZEBF
Zeihen (B);ZEI
Zell;ZELL
Zürich Enge;ZEN
Zürich Engetunnel;ZENT
Zermatt GGB;ZERG
Zermatt;ZERM
Zürich Eidg. Tech. Hochschule;ZETH
Zetzwil;ZETZ
Zürich Europaallee;ZEUR
Zernez;ZEZ
Zofingen;ZF
Zofingen mobile Equipe;ZF56
Zofingen 94;ZF94
Zofingen 95;ZF95
Zofingen 96;ZF96
Zofingen 97;ZF97
Zofingen 98;ZF98
Zofingen, Ackerstrasse;ZFAS
Zürich HB FB 2a;ZFBA
Zürich HB FB 2b;ZFBB
Zofingen, Bergli Friedhof;ZFBF
Zofingen, Bifangstrasse;ZFBI
Zofingen, Bleiche;ZFBL
Zofingen, Bethge;ZFBT
Zürich Flughafen Finger Dock A;ZFDA
Zofingen, Eisengrube;ZFEG
Frauenfeld leere Schnitzel;ZFFL
Zofingen, Falkeisenmatte;ZFFM
Frauenfeld Zuckerrüben;ZFFR
Zofingen, Wässermattenweg;ZFGR
Zürich Flughafen;ZFH
Zofingen, Haldenweg;ZFHA
Zofingen, Henzmannstrasse;ZFHE
Zofingen, Heitereplatz;ZFHP
Zürich Flughafentunnel Mitte;ZFHT
Zofingen, JHCO;ZFJH
Zofingen, Mühlethalstrasse;ZFMS
Zofingen, Mühlewiese;ZFMW
Zofingen Nord (Abzw);ZFN
Zürich Flughafen T36 OfficCen;ZFOC
Zürich Föhrlibuck;ZFOR
Zofingen, Oberer Stadteingang;ZFOS
Zofingen, Römerbad;ZFRB
Zürich Friesenberg Alcatel;ZFRI
Zofingen, Riedtalstrasse;ZFRS
Zofingen, Schwimmbad;ZFSB
Zofingen, Spitalgasse;ZFSG
Zofingen, Spital;ZFSP
Zofingen, Tagblatt;ZFTB
Zofingen, Untere Brühlstrasse;ZFTC
Zürich Flughafentunnel Südport;ZFTS
Zug;ZG
Zug mobile Equipe;ZG56
Zug 94;ZG94
Zug 95;ZG95
Zug 96;ZG96
Zug 97;ZG97
Zug 98;ZG98
Zürich Cargo;ZGB
Zugerberg;ZGBG
Zürich HB Cargo West (Abzw);ZGBW
Zug Casino;ZGCA
Zug, Dammstrasse/Bahnhof;ZGDA
Zürich HB Passage Gessnerallee;ZGES
Zug Fridbach;ZGFR
Zürich Giesshübel;ZGH
Zürich Giesshübel mobile Equip;ZGH56
Zug, Metalli/Bahnhof;ZGME
Zug Nord (Abzw);ZGN
Zug Oberwil;ZGO
Zug Postplatz;ZGPP
Zauggenried;ZGRD
Zgraggen (Spw);ZGRG
Zgraggentaltunnel;ZGRT
Zug Süd;ZGS
Zug Schutzengel;ZGSE
Zuger Stadttunnel;ZGST
Zürich Gubrist;ZGUB
Zürich HB Cargo GV;ZGV
Zug West;ZGW
Zürich Herdern Bremsblock;ZHBB
Zürich Hardbrücke (600+700);ZHBR
Zürich Hardbrücke;ZHDB
Zürich Hardbrücke West (Spw);ZHDW
Zürich Serviceanlage G;ZHE23
Zürich Serviceanlage WUVB;ZHE24
Zürich Herdern Serviceanlage;ZHE25
IH-Anlage Zürich Herdern 2;ZHE26
Zürich ESA Feld E12/13;ZHE80
Zürich DLR Feld E/Z;ZHE86
Zürich Herdern Blockstelle;ZHEB
Zürich SA G Ent-/Versorgung;ZHEG80
Zürich Herdern Abstellgruppe;ZHER
Zürich Herdern Uh-Anlage Feld;ZHER27
Zürich Herdern Ent-/Versorgung;ZHER80
Zürich Herdern 2 Ent-/Versorg;ZHER81
Zürich Herdern DR;ZHER86
Zürich Herdern GR;ZHER90
Zürich Herdern 94;ZHER94
Zürich Herdern 95;ZHER95
Zürich Herdern 96;ZHER96
Zürich Herdern 97;ZHER97
Zürich Herdern 98;ZHER98
Zürich Herdern West Gleisfeld;ZHEW
Zürich HB Nordtrakt;ZHN
Zürich HB Nordtrakt 1.UG TC;ZHN1
Zürich HB Nordtrakt 4.UG TC;ZHN4
Zürich NT Ueberwachungszentral;ZHNU
Zürich HB Nordwesttrakt;ZHNW
Zürich Hottingen (Spw);ZHOT
Zürich HB Südtrakt;ZHS
Zürich, Sihlquai/HB;ZHSI
Zürich Hardturmstrasse 161;ZHST
Zürich Unterwerk;ZHUW
Zürich Hauptwerkstätte;ZHW
Zürich IW Altstetten K+S;ZHW06
Zizers (B);ZI
Zimmerberg Basistunnel;ZIBT
St. Urban Ziegelei;ZIE
Zimeysa;ZIM
Zimmerbergtunnel Nord;ZIMN
Zimmerbergtunnel Süd;ZIMS
Zimmerbergtunnel Mitte;ZIMT
Zürich Equinix (Switzerland)AG;ZIXE
Zizers;ZIZ
Zizers Autobahn;ZIZA
Zizers SBB;ZIZS
Zollikon;ZK
Zollikerberg;ZKBG
Zürich Kohlendreieck;ZKDE
Zürich Kollerwiese (Spw);ZKOL
Zürich Hagenholz KVA;ZKVH
Zürich Viadukt Nord Kabelhaus;ZKVN
Zürich Leimbach;ZLE
Zürich Lettentunnel Ende;ZLEE
Zürich Letten;ZLET
Zürich Lexhof;ZLEX
Zürich Limmatstrasse 23/25;ZLIM
Zürich LängsKanal (2.UG);ZLK
Zürich HB Löwenstrasse;ZLOE
Zürich Lochergut (Abzw);ZLOG
Zürich HB Löwenstrasse Ost;ZLOO
Zürich HB Löwenstrasse West;ZLOW
Zürich Langstrasse;ZLST
Zürich Lettentunnel;ZLTU
Zürich HB Löwenstr West TC 1;ZLW1
Zürich HB Löwenstr West TC 2;ZLW2
Zürich HB Löwenstr West TC 3;ZLW3
Zürich Manegg;ZMA
Zürich Mülligen CDS;ZMUC
Zürich Mülligen;ZMUE
Zürich HB Museumstrasse;ZMUS
Zürich HB Museumsbahnhof West;ZMUT
Zürich Neufrankengasse;ZNFG
Zollbrück;ZO
Zofingen, Altachen;ZOAL
Zürich Oerlikon Andreasstr 15;ZOAS
Zofingen, Bahnhof;ZOBA
Zollbrück, Bahnhof;ZOBF
Zürich Oerlikon Bahnmeistergeb;ZOEB
Zürich Oerlikon Kabelstützpunk;ZOEK
Zürich Oerlikon Unt Mitte;ZOEM
Zürich Oerlikon Nord (Abzw);ZOEN
Zürich Oerlikon Perron Unt Ost;ZOEO
Zürich Oerlikon Pumpstation;ZOEP
Zürich Oerlikon;ZOER
Zürich Oerlikon Süd (Abzw);ZOES
Zürich Oerlikon Technikgebäude;ZOET
Zürich Oerlikon Unterquerung;ZOEU
Zürich Oerlikon (Abzw);ZOEV
Zürich Oerlikon Wattstrasse;ZOEW
Zollbrück, Frittenbachstrasse;ZOFS
Zollhaus b. Gams;ZOGA
Zofingen, Industrie Brühl;ZOIN
Zollikofen;ZOL
Zollikofen mobile Equipe;ZOL56
ADI-CC, Ausbildung-d;ZOLA
Zollikofen Taskf-Zentrum P2001;ZOLB
Zollikofen Adi-BUS;ZOLC
ADI-CC Bern, I-BUS;ZOLI
Zürich Zollstrasse;ZOLL
Zollikofen Nord (Abzw);ZOLN
Zollikofen Schaltposten;ZOLS
Zollikofen West (Spw);ZOLW
Crémines-Zoo;ZOO
Zornasco;ZORN
Zollbrück, Zentrum;ZOZE
Zürich Saalsporthalle;ZSAA
Zürich Seebach;ZSEB
Zürich Selnau;ZSEL
Zürich Seebach Ost (Abzw);ZSEO
Zürich Seebach Frequenz UW;ZSEU
Zürich Altstetten Schnellgutbf;ZSGB
Zürich HB Passage Sihlquai;ZSIL
Zürich Sihlpost;ZSIP
Zürich Selnau KM-Sprung;ZSKM
Zürich Stadelhofen TC-Raum 1;ZST1
Zürich Stadelhofen TC-Raum 2;ZST2
Zürich Stadelhofen TC-Raum 3;ZST3
Zürich Stadelhofen TC-Raum 4;ZST4
Zürich Stadelhofen FB;ZSTF
Zürich Stellwerk GB;ZSTG
Zürich Stadelhofen;ZSTH
Zürich Zentralstellwerk;ZSTW
Zürich Stellwerk F;ZSWF
Zürich Trafostation 14;ZT14
Zürich Hauptschaltposten 21;ZT21
Zürich Tiefenbrunnen;ZTB
Zürich Tiefenbrunnen 95;ZTB95
Zürich Engetunnel Südportal;ZTES
Zürich Föhrlibucktunnel;ZTFW
Zürich Telekurs Cardsolutions;ZTKC
Zürich Käferbergtunnel Nord;ZTKN
Zürich Käferbergtunnel Süd;ZTKS
Zürich Letzibachtunnel Ost;ZTLO
Zürich Riesbachtunnel Mitte;ZTRM
Zürich Riesbachtunnel Süd;ZTRS
Zürich Wipkingertunnel Nord;ZTWN
Zürich Unterhaltsanlage DepotF;ZUAF
Zürich Unterhaltsanlage DepotG;ZUAG
Zürich Betriebszentrale;ZUBZ
Zürich HB Change;ZUCH
Zürich HB;ZUE
Zürich HB Depot G Lok;ZUE10
Zürich HB Depot F Lok;ZUE11
Zürich mobile Equipe;ZUE56
Zürich HB HR Gleis Z41;ZUE90
Zürich HB 94;ZUE94
Zürich HB 95;ZUE95
Zürich HB 96;ZUE96
Zürich HB 97;ZUE97
Zürich HB 98;ZUE98
Zürich HB Gleisfeld A;ZUEA
Zürich Balgrist;ZUEB
Zürich, Regio-Bus;ZUEC
Zürich Hegibachplatz;ZUEH
Zürich Kreuzplatz;ZUEK
Zürchersmühle;ZUEM
Zürich Rehalp;ZUER
Zufikon Hammergut;ZUFH
Zufikon;ZUFI
Zuchwil, Kornfeld;ZUKF
Zürich Ulmbergtunnel;ZULM
Zürich Limmatquai Verl. Km-Axe;ZULQ
Zumikon;ZUM
Zuchwil, Langfeld;ZUMD
Zürich HB Nord;ZUN
Zürich Uni Irchel;ZUNI
Zuoz;ZUOZ
Zürich HB SZU Gleisende;ZUSG
Zürich HB SZU Süd (Spw);ZUSS
Zürich HB SZU;ZUSZ
Zürich Wasserwerkstr 12 I-BU-O;ZUWA
Zürich Universität Kollegiumsg;ZUZZ
Zürich Vorbahnhof;ZVB
Zürich Vorbahnhof Stellwerk;ZVBF
Zürich Vorbahnhof Feld M;ZVBM
Zürich Vorbahnhof Nord;ZVBN
Zürich Vorbahnhof Ost;ZVBO
Zürich Vorbahnhof Süd;ZVBS
Zürich Vorbahnhof West;ZVBW
Zürich Vorbahnhof (Df);ZVDF
Zürich Viadukt (Abzw);ZVIA
Zweisimmen;ZW
Zweisimmen, Bahnhof;ZWBA
Zürich Weinberg Fluchtstollen;ZWBF
Zweidlen Bahnhofstrasse;ZWBH
Zweibrücken;ZWBR
Zürich Weinbergtunnel;ZWBT
Zweidlen;ZWD
Zürich Wehntalerstrasse (Spw);ZWEH
Zweilütschinen;ZWEI
Zwingen;ZWG
Zweisimmen Gleisende;ZWGE
Im Steinriesel;ZWGO
Zürich Wiedikon TC-Raum 1;ZWI1
Zürich Wiedikon TC-Raum 2;ZWI2
Zürich Wiedikon TC-Raum 3;ZWI3
Zürich Wiedikon;ZWIE
Zürich Wipkingen;ZWIP
Zürich Wipkingen Kabelstützpkt;ZWKS
Zweisimmen [Gleis 3-6];ZWMO
Zweisimmen MOB;ZWMO01
Zürich Wollishofen;ZWOL
Zürich Wollishofen 95;ZWOL95
Zweieren (Abzw);ZWRN
Bad Zurzach;ZZ
Bad Zurzach Solvay;ZZ05
Zürich Altstetten Zollhalle;ZZOL
Zürich Zollstrasse Parkhaus;ZZOP
